gRNA,Gene,Plasmid,Rep1,Rep2,Rep3
AACS_CCDS9263.1_ex8_12:125599087-125599110:-_5-5,AACS,397,390,483,424
AADAC_CCDS33877.1_ex1_3:151535152-151535175:+_5-1,AADAC,460,613,470,527
AADAC_CCDS33877.1_ex1_3:151535307-151535330:+_5-2,AADAC,79,54,61,51
AADAC_CCDS33877.1_ex1_3:151535327-151535350:+_5-3,AADAC,110,237,40,250
AADAC_CCDS33877.1_ex4_3:151545476-151545499:+_5-4,AADAC,65,133,92,142
AADAC_CCDS33877.1_ex4_3:151545547-151545570:-_5-5,AADAC,352,222,571,355
AADACL3_CCDS41252.1_ex2_1:12785258-12785281:+_5-1,AADACL3,393,833,482,494
AADACL3_CCDS41252.1_ex2_1:12785334-12785357:-_5-2,AADACL3,225,240,192,404
AADACL3_CCDS41252.1_ex2_1:12785358-12785381:+_5-3,AADACL3,422,535,737,718
AADACL3_CCDS41252.1_ex2_1:12785419-12785442:-_5-4,AADACL3,159,121,109,152
AADACL3_CCDS41252.1_ex2_1:12785608-12785631:+_5-5,AADACL3,175,321,156,194
AAMDC_CCDS8254.1_ex0_11:77553633-77553656:+_5-1,AAMDC,776,900,908,792
AAMDC_CCDS8254.1_ex1_11:77580763-77580786:-_5-2,AAMDC,377,730,938,535
AAMDC_CCDS8254.1_ex1_11:77580785-77580808:-_5-3,AAMDC,530,570,434,428
AAMDC_CCDS8254.1_ex1_11:77580845-77580868:+_5-4,AAMDC,335,616,466,509
AAMDC_CCDS8254.1_ex2_11:77583223-77583246:-_5-5,AAMDC,435,479,574,678
AAMP_CCDS33378.1_ex6_2:219131229-219131252:+_5-1,AAMP,558,49,79,9
AAMP_CCDS33378.1_ex8_2:219132241-219132264:+_5-2,AAMP,76,2,3,10
AAMP_CCDS33378.1_ex8_2:219132278-219132301:-_5-3,AAMP,547,14,0,6
AAMP_CCDS33378.1_ex9_2:219134119-219134142:+_5-4,AAMP,751,482,669,523
AAMP_CCDS33378.1_ex10_2:219134694-219134717:-_5-5,AAMP,939,348,148,375
AANAT_CCDS11745.1_ex0_17:74464923-74464946:-_5-1,AANAT,599,1131,1113,1258
AANAT_CCDS11745.1_ex0_17:74464970-74464993:-_5-2,AANAT,537,640,535,480
AANAT_CCDS11745.1_ex1_17:74465300-74465323:-_5-3,AANAT,454,414,587,228
AANAT_CCDS11745.1_ex1_17:74465314-74465337:-_5-4,AANAT,263,609,377,339
AANAT_CCDS11745.1_ex1_17:74465365-74465388:+_5-5,AANAT,1094,1653,1561,1224
AAR2_CCDS13273.1_ex0_20:34827888-34827911:+_5-1,AAR2,194,190,107,92
AAR2_CCDS13273.1_ex0_20:34827917-34827940:-_5-2,AAR2,525,653,718,764
AAR2_CCDS13273.1_ex0_20:34827975-34827998:+_5-3,AAR2,384,316,858,716
AAR2_CCDS13273.1_ex0_20:34828005-34828028:-_5-4,AAR2,77,140,36,69
AAR2_CCDS13273.1_ex0_20:34828259-34828282:-_5-5,AAR2,212,336,279,277
AASDHPPT_CCDS31664.1_ex0_11:105948544-105948567:+_5-1,AASDHPPT,562,231,435,452
AASDHPPT_CCDS31664.1_ex0_11:105948583-105948606:-_5-2,AASDHPPT,200,284,110,69
AASDHPPT_CCDS31664.1_ex1_11:105950310-105950333:-_5-3,AASDHPPT,121,120,48,81
AASDHPPT_CCDS31664.1_ex1_11:105950373-105950396:-_5-4,AASDHPPT,798,982,946,1314
AASDHPPT_CCDS31664.1_ex3_11:105962110-105962133:+_5-5,AASDHPPT,19,18,16,0
AATK_CCDS45807.1_ex3_17:79095931-79095954:+_5-1,AATK,634,998,520,867
AATK_CCDS45807.1_ex3_17:79095970-79095993:-_5-2,AATK,809,832,1169,1509
AATK_CCDS45807.1_ex4_17:79096992-79097015:-_5-3,AATK,674,762,787,1112
AATK_CCDS45807.1_ex5_17:79098584-79098607:-_5-4,AATK,436,242,358,268
AATK_CCDS45807.1_ex7_17:79100225-79100248:-_5-5,AATK,478,329,506,322
ABCA10_CCDS11684.1_ex20_17:67183873-67183896:-_5-1,ABCA10,213,336,193,334
ABCA10_CCDS11684.1_ex21_17:67186574-67186597:-_5-2,ABCA10,527,279,559,603
ABCA10_CCDS11684.1_ex23_17:67188722-67188745:-_5-3,ABCA10,204,235,19,206
ABCA10_CCDS11684.1_ex30_17:67210930-67210953:+_5-4,ABCA10,339,202,316,297
ABCA10_CCDS11684.1_ex34_17:67217983-67218006:-_5-5,ABCA10,113,18,34,56
ABCA5_CCDS11685.1_ex22_17:67282094-67282117:+_5-1,ABCA5,90,108,7,54
ABCA5_CCDS11685.1_ex24_17:67283787-67283810:+_5-2,ABCA5,434,796,749,584
ABCA5_CCDS11685.1_ex32_17:67300883-67300906:+_5-3,ABCA5,199,330,293,123
ABCA5_CCDS11685.1_ex33_17:67302987-67303010:+_5-4,ABCA5,251,233,302,340
ABCA5_CCDS11685.1_ex35_17:67305496-67305519:+_5-5,ABCA5,294,466,177,215
ABCB5_CCDS5371.1_ex0_7:20691136-20691159:-_6-1,ABCB5,45,27,77,21
ABCB5_CCDS5371.1_ex0_7:20691170-20691193:+_6-2,ABCB5,220,172,209,276
ABCB5_CCDS5371.1_ex0_7:20691212-20691235:+_6-3,ABCB5,15,13,9,0
ABCB5_CCDS5371.1_ex1_7:20698127-20698150:+_6-4,ABCB5,14,0,8,2
ABCB5_CCDS5371.1_ex1_7:20698153-20698176:+_6-5,ABCB5,224,409,181,247
ABCB5_CCDS5371.1_ex2_7:20721132-20721155:+_6-6,ABCB5,247,654,189,310
ABCB6_CCDS2436.1_ex14_2:220080836-220080859:-_5-1,ABCB6,610,703,525,597
ABCB6_CCDS2436.1_ex14_2:220080858-220080881:+_5-2,ABCB6,625,1039,779,1173
ABCB6_CCDS2436.1_ex15_2:220081125-220081148:+_5-3,ABCB6,282,189,175,499
ABCB6_CCDS2436.1_ex18_2:220083172-220083195:+_5-4,ABCB6,307,313,256,238
ABCB6_CCDS2436.1_ex18_2:220083276-220083299:+_5-5,ABCB6,379,769,394,417
ABCB8_CCDS5913.1_ex2_7:150731432-150731455:+_5-1,ABCB8,322,390,474,166
ABCB8_CCDS5913.1_ex3_7:150731626-150731649:-_5-2,ABCB8,607,609,545,510
ABCB8_CCDS5913.1_ex4_7:150731823-150731846:+_5-3,ABCB8,110,201,238,45
ABCB8_CCDS5913.1_ex5_7:150732708-150732731:-_5-4,ABCB8,533,509,676,464
ABCB8_CCDS5913.1_ex6_7:150733026-150733049:-_5-5,ABCB8,727,1043,990,1030
ABCC10_CCDS4896.1_ex0_6:43400379-43400402:+_5-1,ABCC10,577,845,672,896
ABCC10_CCDS4896.1_ex0_6:43400561-43400584:+_5-2,ABCC10,463,661,789,428
ABCC10_CCDS4896.1_ex0_6:43400767-43400790:+_5-3,ABCC10,575,896,423,672
ABCC10_CCDS4896.1_ex1_6:43402501-43402524:-_5-4,ABCC10,306,390,529,97
ABCC10_CCDS4896.1_ex6_6:43409645-43409668:-_5-5,ABCC10,516,745,739,545
ABCC11_CCDS10732.1_ex15_16:48234306-48234329:+_5-1,ABCC11,232,249,215,214
ABCC11_CCDS10732.1_ex17_16:48239361-48239384:-_5-2,ABCC11,451,571,641,821
ABCC11_CCDS10732.1_ex19_16:48244986-48245009:-_5-3,ABCC11,449,665,529,460
ABCC11_CCDS10732.1_ex23_16:48250102-48250125:+_5-4,ABCC11,595,566,607,250
ABCC11_CCDS10732.1_ex24_16:48256598-48256621:+_5-5,ABCC11,155,112,242,55
ABCC12_CCDS10730.1_ex22_16:48167596-48167619:-_5-1,ABCC12,976,2231,1702,2113
ABCC12_CCDS10730.1_ex25_16:48174665-48174688:-_5-2,ABCC12,531,767,742,370
ABCC12_CCDS10730.1_ex27_16:48177841-48177864:+_5-3,ABCC12,360,301,92,275
ABCC12_CCDS10730.1_ex27_16:48177882-48177905:-_5-4,ABCC12,320,616,739,312
ABCC12_CCDS10730.1_ex27_16:48177956-48177979:-_5-5,ABCC12,427,595,500,639
ABCC4_CCDS45061.1_ex13_13:95858780-95858803:-_5-1,ABCC4,360,685,561,518
ABCC4_CCDS45061.1_ex13_13:95858877-95858900:+_5-2,ABCC4,719,829,942,1237
ABCC4_CCDS45061.1_ex14_13:95860148-95860171:-_5-3,ABCC4,857,1936,1904,1546
ABCC4_CCDS45061.1_ex16_13:95863013-95863036:-_5-4,ABCC4,217,408,272,381
ABCC4_CCDS45061.1_ex17_13:95886862-95886885:-_5-5,ABCC4,135,177,183,91
ABCC5_CCDS33898.1_ex2_3:183706425-183706448:-_5-1,ABCC5,254,249,302,322
ABCC5_CCDS33898.1_ex2_3:183706483-183706506:+_5-2,ABCC5,576,849,1017,941
ABCC5_CCDS33898.1_ex3_3:183707010-183707033:+_5-3,ABCC5,391,458,484,311
ABCC5_CCDS33898.1_ex3_3:183707087-183707110:+_5-4,ABCC5,433,263,336,517
ABCC5_CCDS33898.1_ex4_3:183732050-183732073:-_5-5,ABCC5,299,155,140,216
ABCC9_CCDS8693.1_ex25_12:22040805-22040828:-_5-1,ABCC9,360,417,126,322
ABCC9_CCDS8693.1_ex30_12:22063203-22063226:+_5-2,ABCC9,166,146,89,49
ABCC9_CCDS8693.1_ex34_12:22069870-22069893:-_5-3,ABCC9,441,331,314,491
ABCC9_CCDS8693.1_ex35_12:22078940-22078963:+_5-4,ABCC9,792,1256,673,983
ABCC9_CCDS8693.1_ex36_12:22086780-22086803:-_5-5,ABCC9,184,411,458,651
ABCD1_CCDS14728.1_ex0_X:152991038-152991061:-_5-1,ABCD1,594,898,990,1163
ABCD1_CCDS14728.1_ex0_X:152991083-152991106:+_5-2,ABCD1,424,230,291,238
ABCD1_CCDS14728.1_ex0_X:152991197-152991220:-_5-3,ABCD1,342,401,495,336
ABCD1_CCDS14728.1_ex0_X:152991257-152991280:+_5-4,ABCD1,403,394,393,470
ABCD1_CCDS14728.1_ex0_X:152991557-152991580:+_5-5,ABCD1,729,862,635,699
ABCD2_CCDS8734.1_ex9_12:40012598-40012621:+_5-1,ABCD2,287,374,170,176
ABCD2_CCDS8734.1_ex9_12:40012638-40012661:+_5-2,ABCD2,296,542,397,296
ABCD2_CCDS8734.1_ex9_12:40012811-40012834:-_5-3,ABCD2,308,379,434,206
ABCD2_CCDS8734.1_ex9_12:40012977-40013000:+_5-4,ABCD2,410,676,407,509
ABCD2_CCDS8734.1_ex9_12:40013274-40013297:-_5-5,ABCD2,221,74,203,274
ABCD3_CCDS44175.1_ex1_1:94924178-94924201:-_5-1,ABCD3,359,468,773,434
ABCD3_CCDS44175.1_ex4_1:94939320-94939343:+_5-2,ABCD3,601,466,500,372
ABCD3_CCDS44175.1_ex4_1:94939380-94939403:-_5-3,ABCD3,51,52,61,31
ABCD3_CCDS44175.1_ex5_1:94940741-94940764:+_5-4,ABCD3,501,454,559,445
ABCD3_CCDS44175.1_ex5_1:94940775-94940798:-_5-5,ABCD3,115,152,75,242
ABCD4_CCDS9828.1_ex10_14:74759489-74759512:+_5-1,ABCD4,239,325,301,288
ABCD4_CCDS9828.1_ex14_14:74763055-74763078:+_5-2,ABCD4,281,236,135,201
ABCD4_CCDS9828.1_ex15_14:74764627-74764650:-_5-3,ABCD4,448,258,321,586
ABCD4_CCDS9828.1_ex16_14:74766322-74766345:+_5-4,ABCD4,249,186,597,164
ABCD4_CCDS9828.1_ex17_14:74766843-74766866:+_5-5,ABCD4,500,583,892,634
ABCF1_CCDS34380.1_ex5_6:30546332-30546355:+_5-1,ABCF1,89,103,17,4
ABCF1_CCDS34380.1_ex9_6:30550909-30550932:-_5-2,ABCF1,615,481,466,635
ABCF1_CCDS34380.1_ex10_6:30551395-30551418:+_5-3,ABCF1,1344,292,154,317
ABCF1_CCDS34380.1_ex10_6:30551444-30551467:+_5-4,ABCF1,607,0,0,4
ABCF1_CCDS34380.1_ex13_6:30552235-30552258:+_5-5,ABCF1,442,0,53,192
ABCF3_CCDS3254.1_ex4_3:183905479-183905502:-_5-1,ABCF3,486,855,332,570
ABCF3_CCDS3254.1_ex5_3:183905755-183905778:+_5-2,ABCF3,525,652,668,740
ABCF3_CCDS3254.1_ex6_3:183905942-183905965:+_5-3,ABCF3,588,1187,1204,583
ABCF3_CCDS3254.1_ex6_3:183906138-183906161:+_5-4,ABCF3,315,585,447,460
ABCF3_CCDS3254.1_ex8_3:183906714-183906737:+_5-5,ABCF3,707,876,820,756
ABCG1_CCDS13681.1_ex2_21:43691189-43691212:-_5-1,ABCG1,321,725,464,688
ABCG1_CCDS13681.1_ex5_21:43702417-43702440:+_5-2,ABCG1,777,836,747,640
ABCG1_CCDS13681.1_ex5_21:43702448-43702471:+_5-3,ABCG1,391,517,486,410
ABCG1_CCDS13681.1_ex6_21:43704708-43704731:+_5-4,ABCG1,262,416,142,459
ABCG1_CCDS13681.1_ex6_21:43704760-43704783:-_5-5,ABCG1,552,617,750,519
ABCG2_CCDS3628.1_ex9_4:89039397-89039420:-_5-1,ABCG2,108,151,147,69
ABCG2_CCDS3628.1_ex10_4:89042831-89042854:-_5-2,ABCG2,237,667,476,274
ABCG2_CCDS3628.1_ex11_4:89052232-89052255:-_5-3,ABCG2,279,262,247,168
ABCG2_CCDS3628.1_ex12_4:89053044-89053067:-_5-4,ABCG2,191,300,256,207
ABCG2_CCDS3628.1_ex13_4:89053769-89053792:-_5-5,ABCG2,283,587,478,626
ABCG4_CCDS8415.1_ex0_11:119020874-119020897:-_5-1,ABCG4,463,663,840,607
ABCG4_CCDS8415.1_ex0_11:119020894-119020917:-_5-2,ABCG4,497,669,610,957
ABCG4_CCDS8415.1_ex1_11:119024760-119024783:+_5-3,ABCG4,580,1065,929,794
ABCG4_CCDS8415.1_ex4_11:119025505-119025528:-_5-4,ABCG4,357,442,515,327
ABCG4_CCDS8415.1_ex6_11:119027329-119027352:-_5-5,ABCG4,322,482,501,358
ABCG5_CCDS1814.1_ex5_2:44051553-44051576:-_5-1,ABCG5,261,69,61,235
ABCG5_CCDS1814.1_ex7_2:44053606-44053629:+_5-2,ABCG5,576,754,390,459
ABCG5_CCDS1814.1_ex8_2:44055199-44055222:+_5-3,ABCG5,406,905,633,563
ABCG5_CCDS1814.1_ex11_2:44065008-44065031:-_5-4,ABCG5,189,216,256,525
ABCG5_CCDS1814.1_ex11_2:44065081-44065104:-_5-5,ABCG5,655,632,1074,1014
ABCG8_CCDS1815.1_ex3_2:44078875-44078898:-_5-1,ABCG8,568,904,808,339
ABCG8_CCDS1815.1_ex3_2:44078944-44078967:-_5-2,ABCG8,808,1224,785,715
ABCG8_CCDS1815.1_ex4_2:44079544-44079567:+_5-3,ABCG8,758,1065,787,1108
ABCG8_CCDS1815.1_ex5_2:44079891-44079914:-_5-4,ABCG8,570,842,1041,585
ABCG8_CCDS1815.1_ex5_2:44079912-44079935:-_5-5,ABCG8,527,1189,1252,865
ABHD10_CCDS2963.1_ex0_3:111698017-111698040:+_5-1,ABHD10,808,994,712,726
ABHD10_CCDS2963.1_ex1_3:111700682-111700705:-_5-2,ABHD10,80,61,16,76
ABHD10_CCDS2963.1_ex1_3:111700730-111700753:-_5-3,ABHD10,47,104,0,23
ABHD10_CCDS2963.1_ex1_3:111700748-111700771:+_5-4,ABHD10,158,128,54,168
ABHD10_CCDS2963.1_ex1_3:111700792-111700815:+_5-5,ABHD10,371,515,295,551
ABHD11_CCDS47607.1_ex2_7:73151890-73151913:-_5-1,ABHD11,314,285,415,166
ABHD11_CCDS47607.1_ex2_7:73151931-73151954:+_5-2,ABHD11,475,283,299,282
ABHD11_CCDS47607.1_ex2_7:73151989-73152012:-_5-3,ABHD11,422,303,500,214
ABHD11_CCDS47607.1_ex3_7:73152724-73152747:+_5-4,ABHD11,356,304,232,341
ABHD11_CCDS47607.1_ex4_7:73153027-73153050:-_5-5,ABHD11,705,595,976,760
ABHD12_CCDS13172.1_ex9_20:25300835-25300858:+_5-1,ABHD12,829,809,630,511
ABHD12_CCDS13172.1_ex11_20:25319897-25319920:+_5-2,ABHD12,55,39,79,39
ABHD12_CCDS13172.1_ex11_20:25319971-25319994:-_5-3,ABHD12,536,658,592,657
ABHD12_CCDS13172.1_ex12_20:25371156-25371179:+_5-4,ABHD12,1409,1929,1766,2376
ABHD12_CCDS13172.1_ex12_20:25371209-25371232:-_5-5,ABHD12,586,1090,887,807
ABHD12B_CCDS55916.1_ex3_14:51347235-51347258:-_5-1,ABHD12B,393,363,241,241
ABHD12B_CCDS55916.1_ex4_14:51348322-51348345:+_5-2,ABHD12B,256,828,547,482
ABHD12B_CCDS55916.1_ex6_14:51352479-51352502:-_5-3,ABHD12B,300,530,512,229
ABHD12B_CCDS55916.1_ex6_14:51352493-51352516:+_5-4,ABHD12B,270,536,335,392
ABHD12B_CCDS55916.1_ex6_14:51352534-51352557:-_5-5,ABHD12B,121,399,275,117
ABHD13_CCDS32007.1_ex0_13:108881866-108881889:+_5-1,ABHD13,17,19,0,0
ABHD13_CCDS32007.1_ex0_13:108881899-108881922:-_5-2,ABHD13,10,23,4,0
ABHD13_CCDS32007.1_ex0_13:108881926-108881949:+_5-3,ABHD13,320,645,752,545
ABHD13_CCDS32007.1_ex0_13:108882004-108882027:+_5-4,ABHD13,104,68,3,90
ABHD13_CCDS32007.1_ex0_13:108882265-108882288:-_5-5,ABHD13,19,73,31,31
ABHD14A_CCDS2843.1_ex1_3:52011954-52011977:-_5-1,ABHD14A,323,986,519,405
ABHD14A_CCDS2843.1_ex1_3:52012050-52012073:+_5-2,ABHD14A,789,1468,1130,1347
ABHD14A_CCDS2843.1_ex2_3:52012300-52012323:+_5-3,ABHD14A,449,518,484,655
ABHD14A_CCDS2843.1_ex2_3:52012345-52012368:+_5-4,ABHD14A,397,508,452,265
ABHD14A_CCDS2843.1_ex3_3:52014403-52014426:-_5-5,ABHD14A,227,297,231,356
ABHD14B_CCDS2842.1_ex1_3:52003983-52004006:+_5-1,ABHD14B,383,330,320,268
ABHD14B_CCDS2842.1_ex1_3:52004012-52004035:+_5-2,ABHD14B,162,187,111,175
ABHD14B_CCDS2842.1_ex1_3:52004079-52004102:+_5-3,ABHD14B,530,473,435,759
ABHD14B_CCDS2842.1_ex1_3:52004149-52004172:-_5-4,ABHD14B,1208,2306,1577,2463
ABHD14B_CCDS2842.1_ex2_3:52005460-52005483:+_5-5,ABHD14B,658,849,492,954
ABHD16A_CCDS4713.1_ex11_6:31659382-31659405:+_5-1,ABHD16A,244,836,450,448
ABHD16A_CCDS4713.1_ex11_6:31659441-31659464:-_5-2,ABHD16A,594,694,688,638
ABHD16A_CCDS4713.1_ex12_6:31659655-31659678:+_5-3,ABHD16A,889,1067,851,959
ABHD16A_CCDS4713.1_ex13_6:31660799-31660822:-_5-4,ABHD16A,382,374,230,353
ABHD16A_CCDS4713.1_ex15_6:31664772-31664795:+_5-5,ABHD16A,589,621,498,841
ABHD3_CCDS32802.1_ex7_18:19283541-19283564:+_5-1,ABHD3,1251,1543,900,1182
ABHD3_CCDS32802.1_ex7_18:19283569-19283592:+_5-2,ABHD3,215,103,73,180
ABHD3_CCDS32802.1_ex7_18:19283615-19283638:-_5-3,ABHD3,519,422,388,281
ABHD3_CCDS32802.1_ex7_18:19283635-19283658:+_5-4,ABHD3,408,451,801,503
ABHD3_CCDS32802.1_ex7_18:19283685-19283708:-_5-5,ABHD3,698,687,700,779
ABHD4_CCDS9572.1_ex2_14:23072373-23072396:+_5-1,ABHD4,813,1036,1332,1146
ABHD4_CCDS9572.1_ex2_14:23072477-23072500:-_5-2,ABHD4,495,876,872,853
ABHD4_CCDS9572.1_ex2_14:23072515-23072538:+_5-3,ABHD4,368,629,588,265
ABHD4_CCDS9572.1_ex2_14:23072555-23072578:+_5-4,ABHD4,310,512,509,318
ABHD4_CCDS9572.1_ex3_14:23072853-23072876:-_5-5,ABHD4,132,252,134,45
ABHD6_CCDS2887.1_ex1_3:58252912-58252935:+_5-1,ABHD6,454,576,604,344
ABHD6_CCDS2887.1_ex1_3:58253017-58253040:-_5-2,ABHD6,378,409,475,440
ABHD6_CCDS2887.1_ex2_3:58255058-58255081:+_5-3,ABHD6,1143,1703,1230,1387
ABHD6_CCDS2887.1_ex2_3:58255116-58255139:+_5-4,ABHD6,203,249,354,97
ABHD6_CCDS2887.1_ex3_3:58256750-58256773:-_5-5,ABHD6,354,516,544,532
ABI2_CCDS2358.1_ex2_2:204245027-204245050:-_5-1,ABI2,373,316,288,808
ABI2_CCDS2358.1_ex3_2:204255829-204255852:-_5-2,ABI2,231,460,316,474
ABI2_CCDS2358.1_ex4_2:204259432-204259455:-_5-3,ABI2,422,530,490,273
ABI2_CCDS2358.1_ex4_2:204259462-204259485:-_5-4,ABI2,444,567,197,357
ABI2_CCDS2358.1_ex4_2:204259486-204259509:-_5-5,ABI2,676,1076,814,1080
ABI3_CCDS11546.1_ex2_17:47295113-47295136:+_5-1,ABI3,277,168,93,131
ABI3_CCDS11546.1_ex2_17:47295169-47295192:-_5-2,ABI3,838,658,607,734
ABI3_CCDS11546.1_ex2_17:47295206-47295229:-_5-3,ABI3,432,513,458,853
ABI3_CCDS11546.1_ex2_17:47295241-47295264:+_5-4,ABI3,427,561,216,209
ABI3_CCDS11546.1_ex3_17:47296933-47296956:+_5-5,ABI3,159,166,179,261
ABI3BP_CCDS46880.1_ex19_3:100567653-100567676:+_5-1,ABI3BP,752,599,863,805
ABI3BP_CCDS46880.1_ex19_3:100567673-100567696:+_5-2,ABI3BP,327,272,101,258
ABI3BP_CCDS46880.1_ex24_3:100583695-100583718:+_5-3,ABI3BP,143,100,97,62
ABI3BP_CCDS46880.1_ex31_3:100617721-100617744:+_5-4,ABI3BP,104,50,47,98
ABI3BP_CCDS46880.1_ex33_3:100645253-100645276:+_5-5,ABI3BP,144,191,276,154
ABL2_CCDS30947.1_ex7_1:179090845-179090868:-_5-1,ABL2,344,389,767,783
ABL2_CCDS30947.1_ex8_1:179095555-179095578:-_5-2,ABL2,625,1137,922,1086
ABL2_CCDS30947.1_ex8_1:179095735-179095758:-_5-3,ABL2,536,507,521,417
ABL2_CCDS30947.1_ex9_1:179100556-179100579:+_5-4,ABL2,775,1349,870,1260
ABL2_CCDS30947.1_ex9_1:179100594-179100617:-_5-5,ABL2,547,751,845,642
ABRA_CCDS6305.1_ex1_8:107781927-107781950:+_5-1,ABRA,997,1433,1115,922
ABRA_CCDS6305.1_ex1_8:107782012-107782035:+_5-2,ABRA,923,1720,861,1585
ABRA_CCDS6305.1_ex1_8:107782078-107782101:-_5-3,ABRA,187,260,398,215
ABRA_CCDS6305.1_ex1_8:107782103-107782126:+_5-4,ABRA,100,115,123,169
ABRA_CCDS6305.1_ex1_8:107782285-107782308:-_5-5,ABRA,333,405,218,403
ABRACL_CCDS43509.1_ex1_6:139363863-139363886:+_4-1,ABRACL,87,123,180,152
ABRACL_CCDS43509.1_ex1_6:139363895-139363918:-_4-2,ABRACL,148,241,294,218
ABRACL_CCDS43509.1_ex1_6:139363916-139363939:-_4-3,ABRACL,93,147,112,161
ABRACL_CCDS43509.1_ex1_6:139363939-139363962:+_4-4,ABRACL,242,478,333,144
ABTB2_CCDS7890.2_ex13_11:34194754-34194777:-_5-1,ABTB2,647,900,437,737
ABTB2_CCDS7890.2_ex13_11:34194811-34194834:+_5-2,ABTB2,749,1181,1389,879
ABTB2_CCDS7890.2_ex15_11:34226169-34226192:+_5-3,ABTB2,932,1299,1498,1507
ABTB2_CCDS7890.2_ex16_11:34378449-34378472:+_5-4,ABTB2,640,492,706,886
ABTB2_CCDS7890.2_ex16_11:34379004-34379027:+_5-5,ABTB2,424,620,1229,1007
ACAA1_CCDS2673.1_ex4_3:38168105-38168128:+_5-1,ACAA1,763,1426,1136,1375
ACAA1_CCDS2673.1_ex5_3:38169304-38169327:-_5-2,ACAA1,230,425,356,501
ACAA1_CCDS2673.1_ex7_3:38173098-38173121:-_5-3,ACAA1,131,126,17,88
ACAA1_CCDS2673.1_ex8_3:38173441-38173464:-_5-4,ACAA1,487,637,337,472
ACAA1_CCDS2673.1_ex10_3:38178145-38178168:+_5-5,ACAA1,382,646,475,754
ACAA2_CCDS11939.1_ex5_18:47320656-47320679:+_5-1,ACAA2,633,701,802,520
ACAA2_CCDS11939.1_ex6_18:47322134-47322157:+_5-2,ACAA2,265,195,133,387
ACAA2_CCDS11939.1_ex6_18:47322164-47322187:+_5-3,ACAA2,451,323,391,560
ACAA2_CCDS11939.1_ex7_18:47323832-47323855:+_5-4,ACAA2,231,669,213,312
ACAA2_CCDS11939.1_ex7_18:47323875-47323898:+_5-5,ACAA2,455,309,247,299
ACACA_CCDS11317.1_ex27_17:35578744-35578767:+_5-1,ACACA,168,28,15,126
ACACA_CCDS11317.1_ex30_17:35583268-35583291:+_5-2,ACACA,638,816,830,987
ACACA_CCDS11317.1_ex36_17:35602062-35602085:-_5-3,ACACA,330,38,44,107
ACACA_CCDS11317.1_ex37_17:35603874-35603897:-_5-4,ACACA,178,28,99,156
