gRNA,Gene,Plasmid,Rep1,Rep2,Rep3
ABCG5_47584,ABCG5,354,182,473,280
ABCG5_47585,ABCG5,169,166,123,125
ABCG5_47586,ABCG5,445,396,292,315
ABCG8_47587,ABCG8,662,763,943,611
ABCG8_47588,ABCG8,589,1045,1148,1046
ABCG8_47589,ABCG8,664,885,1139,988
ABCG8_47590,ABCG8,746,955,1080,776
ABHD10_42411,ABHD10,254,389,249,271
ABHD10_42412,ABHD10,317,189,340,269
ABHD10_42413,ABHD10,243,160,239,235
ABHD10_42414,ABHD10,296,328,470,240
ABHD11_52127,ABHD11,624,455,599,628
ABHD11_52128,ABHD11,488,1007,740,639
ABHD11_52129,ABHD11,512,355,480,504
ABHD11_52130,ABHD11,396,168,190,224
ABHD12_34539,ABHD12,358,542,407,288
ABHD12_34540,ABHD12,423,446,528,400
ABHD12_34541,ABHD12,699,966,423,1122
ABHD12_34542,ABHD12,220,237,249,308
ABHD12B_61421,ABHD12B,283,545,469,508
ABHD12B_61422,ABHD12B,229,353,237,171
ABHD12B_61423,ABHD12B,258,96,318,93
ABHD12B_61424,ABHD12B,316,114,263,274
ABHD13_54567,ABHD13,1139,1540,1431,1354
ABHD13_54568,ABHD13,662,950,955,967
ABHD13_54569,ABHD13,524,360,384,968
ABHD13_54570,ABHD13,635,539,481,578
ABHD14A_33935,ABHD14A,860,1054,707,524
ABHD14A_33936,ABHD14A,746,1125,905,915
ABHD14A_33937,ABHD14A,680,436,449,302
ABHD14A_33938,ABHD14A,535,860,753,637
ABHD14B_54259,ABHD14B,1078,707,880,895
ABHD14B_54260,ABHD14B,802,1350,1258,689
ABHD14B_54261,ABHD14B,717,855,857,394
ABHD14B_54262,ABHD14B,876,1266,1370,1355
ABHD16A_21085,ABHD16A,742,977,1134,870
ABHD16A_21086,ABHD16A,793,1009,941,1004
ABHD16A_21087,ABHD16A,463,548,724,751
ABHD16A_21088,ABHD16A,353,283,462,373
ABHD3_64313,ABHD3,334,229,533,379
ABHD3_64314,ABHD3,276,150,272,421
ABHD3_64315,ABHD3,336,749,375,420
ABHD3_64316,ABHD3,277,65,189,239
ABHD4_47051,ABHD4,605,574,723,476
ABHD4_47052,ABHD4,197,62,193,322
ABHD4_47053,ABHD4,131,74,87,157
ABHD4_47054,ABHD4,555,534,470,533
ABHD6_45423,ABHD6,286,238,301,238
ABHD6_45424,ABHD6,922,1190,1060,804
ABHD6_45425,ABHD6,616,912,832,888
ABHD6_45426,ABHD6,140,162,144,135
ABI2_27173,ABI2,288,340,355,290
ABI2_27174,ABI2,250,332,587,229
ABI2_27175,ABI2,240,236,395,81
ABI2_27176,ABI2,259,246,424,170
ABI3_38171,ABI3,596,509,749,621
ABI3_38172,ABI3,763,1505,1454,1311
ABI3_38173,ABI3,697,815,733,637
ABI3_38174,ABI3,726,585,770,691
ABI3BP_33995,ABI3BP,222,158,102,282
ABI3BP_33996,ABI3BP,192,191,219,272
ABI3BP_33997,ABI3BP,166,170,311,96
ABI3BP_33998,ABI3BP,238,151,469,321
ABL2_73,ABL2,368,348,407,499
ABL2_74,ABL2,399,593,429,601
ABL2_75,ABL2,289,323,457,458
ABL2_76,ABL2,251,327,434,505
ABRA_60493,ABRA,514,631,693,470
ABRA_60494,ABRA,641,652,880,653
ABRA_60495,ABRA,426,480,623,454
ABRA_60496,ABRA,434,532,484,660
ABRACL_46675,ABRACL,418,429,224,455
ABRACL_46676,ABRACL,276,292,418,398
ABRACL_46677,ABRACL,263,469,420,238
ABRACL_46678,ABRACL,317,650,606,594
ABTB2_33875,ABTB2,995,1104,1492,1090
ABTB2_33876,ABTB2,745,1336,1475,966
ABTB2_33877,ABTB2,426,887,552,507
ABTB2_33878,ABTB2,612,844,864,620
ACAA1_85,ACAA1,228,179,50,130
ACAA1_86,ACAA1,446,581,724,655
ACAA1_87,ACAA1,295,313,246,368
ACAA1_88,ACAA1,439,568,475,464
ACAA2_28113,ACAA2,191,424,353,148
ACAA2_28114,ACAA2,238,392,400,266
ACAA2_28115,ACAA2,272,194,99,229
ACAA2_28116,ACAA2,254,130,298,235
ACACA_89,ACACA,683,509,374,134
ACACA_90,ACACA,410,390,216,163
ACACA_91,ACACA,561,128,237,264
ACACA_92,ACACA,406,184,109,75
ACAD8_35443,ACAD8,539,606,1271,1125
ACAD8_35444,ACAD8,617,468,651,640
ACAD8_35445,ACAD8,826,1361,920,979
ACAD8_35446,ACAD8,771,565,580,695
ACAD9_36271,ACAD9,495,546,904,631
ACAD9_36272,ACAD9,502,499,598,728
ACAD9_36273,ACAD9,368,294,202,258
ACAD9_36274,ACAD9,373,247,275,385
ACADL_97,ACADL,242,262,387,297
ACADL_98,ACADL,330,518,289,312
ACADL_99,ACADL,248,408,464,439
ACADL_100,ACADL,144,60,123,131
ACADS_105,ACADS,781,1418,1232,1264
ACADS_106,ACADS,542,580,557,666
ACADS_107,ACADS,364,557,480,499
ACADS_108,ACADS,404,489,580,409
ACADSB_109,ACADSB,251,502,252,235
ACADSB_110,ACADSB,281,514,391,427
ACADSB_111,ACADSB,251,154,296,272
ACADSB_112,ACADSB,270,210,301,409
ACADVL_113,ACADVL,327,311,516,357
ACADVL_114,ACADVL,146,80,195,257
ACADVL_115,ACADVL,157,132,256,370
ACADVL_116,ACADVL,145,219,59,159
ACAN_493,ACAN,316,475,857,611
ACAN_494,ACAN,201,261,333,232
ACAN_495,ACAN,243,439,382,125
ACAN_496,ACAN,209,293,155,197
ACAP1_25821,ACAP1,664,987,574,817
ACAP1_25822,ACAP1,177,184,70,352
ACAP1_25823,ACAP1,372,360,269,322
ACAP1_25824,ACAP1,641,1007,793,699
ACAP2_33055,ACAP2,465,442,401,544
ACAP2_33056,ACAP2,321,371,208,238
ACAP2_33057,ACAP2,525,960,843,793
ACAP2_33058,ACAP2,517,586,941,525
ACAT1_117,ACAT1,123,371,351,180
ACAT1_118,ACAT1,116,127,99,127
ACAT1_119,ACAT1,387,259,644,535
ACAT1_120,ACAT1,540,704,1075,577
ACAT2_121,ACAT2,205,178,350,204
ACAT2_122,ACAT2,236,453,616,146
ACAT2_123,ACAT2,123,60,235,284
ACAT2_124,ACAT2,263,369,290,263
ACBD5_55853,ACBD5,459,772,400,431
ACBD5_55854,ACBD5,631,947,1233,852
ACBD5_55855,ACBD5,513,902,736,471
ACBD5_55856,ACBD5,541,807,894,620
ACBD6_53475,ACBD6,666,570,502,473
ACBD6_53476,ACBD6,664,1518,920,1062
ACBD6_53477,ACBD6,881,1336,1319,1290
ACBD6_53478,ACBD6,440,507,646,709
ACCS_54015,ACCS,578,1002,971,985
ACCS_54016,ACCS,495,664,689,693
ACCS_54017,ACCS,517,896,446,521
ACCS_54018,ACCS,432,339,446,341
ACE2_46731,ACE2,514,600,562,450
ACE2_46732,ACE2,305,411,339,303
ACE2_46733,ACE2,379,438,700,238
ACE2_46734,ACE2,317,487,514,575
ACER2_69181,ACER2,125,174,158,293
ACER2_69182,ACER2,242,394,425,307
ACER2_69183,ACER2,392,777,527,690
ACER2_69184,ACER2,441,679,475,450
ACHE_133,ACHE,144,91,227,192
ACHE_134,ACHE,210,180,110,243
ACHE_135,ACHE,297,232,264,254
ACHE_136,ACHE,254,330,441,170
ACIN1_31375,ACIN1,376,440,635,395
ACIN1_31376,ACIN1,207,183,236,218
ACIN1_31377,ACIN1,614,858,561,1222
ACIN1_31378,ACIN1,438,218,474,564
ACKR2_3469,ACKR2,664,1164,1142,1062
ACKR2_3470,ACKR2,783,1450,1416,1674
ACKR2_3471,ACKR2,515,613,789,424
ACKR2_3472,ACKR2,313,125,195,110
ACLY_137,ACLY,349,160,84,109
ACLY_138,ACLY,232,19,179,42
ACLY_139,ACLY,437,566,416,405
ACLY_140,ACLY,191,104,81,93
ACMSD_59757,ACMSD,152,207,99,100
ACMSD_59758,ACMSD,480,601,753,687
ACMSD_59759,ACMSD,438,322,362,363
ACMSD_59760,ACMSD,88,62,42,238
ACOT11_34379,ACOT11,1199,1155,1449,1053
ACOT11_34380,ACOT11,972,1511,1623,1355
ACOT11_34381,ACOT11,737,1203,1159,1037
ACOT11_34382,ACOT11,456,660,588,589
ACOT2_29699,ACOT2,869,1301,885,644
ACOT2_29700,ACOT2,960,1096,1085,774
ACOT2_29701,ACOT2,672,864,1159,659
ACOT2_29702,ACOT2,719,813,723,884
ACOT4_58565,ACOT4,284,398,197,197
ACOT4_58566,ACOT4,451,514,435,566
ACOT4_58567,ACOT4,689,886,1127,830
ACOT4_58568,ACOT4,505,653,519,514
ACOT6_73654,ACOT6,683,898,1421,862
ACOT6_73655,ACOT6,835,857,841,782
ACOT6_73656,ACOT6,680,1102,903,824
ACOT6_73657,ACOT6,585,442,529,474
ACOT8_26701,ACOT8,365,360,734,316
ACOT8_26702,ACOT8,171,109,252,201
ACOT8_26703,ACOT8,381,435,428,304
ACOT8_26704,ACOT8,438,466,527,301
ACOX2_21553,ACOX2,521,540,589,728
ACOX2_21554,ACOX2,682,885,843,868
ACOX2_21555,ACOX2,502,492,625,425
ACOX2_21556,ACOX2,260,55,121,105
ACOX3_21557,ACOX3,524,901,887,938
ACOX3_21558,ACOX3,485,835,641,833
ACOX3_21559,ACOX3,411,378,312,179
ACOX3_21560,ACOX3,376,313,650,526
ACP1_157,ACP1,157,181,91,176
ACP1_158,ACP1,287,560,798,594
ACP1_159,ACP1,950,1537,1434,1501
ACP1_160,ACP1,171,109,219,204
ACP5_165,ACP5,474,407,1085,602
ACP5_166,ACP5,690,987,1064,1246
ACP5_167,ACP5,325,532,281,247
ACP5_168,ACP5,293,435,124,449
ACPP_169,ACPP,371,574,759,477
ACPP_170,ACPP,429,723,578,912
ACPP_171,ACPP,343,351,524,581
ACPP_172,ACPP,476,674,1014,694
ACPT_56581,ACPT,422,494,493,343
ACPT_56582,ACPT,292,156,215,254
ACPT_56583,ACPT,645,628,350,453
ACPT_56584,ACPT,442,432,346,216
ACRBP_53727,ACRBP,607,642,404,400
ACRBP_53728,ACRBP,486,665,721,615
ACRBP_53729,ACRBP,188,168,197,122
ACRBP_53730,ACRBP,582,270,283,494
ACSBG1_32071,ACSBG1,565,301,592,514
ACSBG1_32072,ACSBG1,499,778,968,685
ACSBG1_32073,ACSBG1,320,184,143,269
ACSBG1_32074,ACSBG1,192,325,102,259
ACSF3_64513,ACSF3,480,535,925,651
ACSF3_64514,ACSF3,506,995,683,481
ACSF3_64515,ACSF3,680,918,1007,835
ACSF3_64516,ACSF3,407,605,493,345
ACSL6_32395,ACSL6,726,911,958,955
ACSL6_32396,ACSL6,608,790,840,554
ACSL6_32397,ACSL6,742,714,666,999
ACSL6_32398,ACSL6,441,740,399,340
ACSM2B_69921,ACSM2B,281,329,176,271
ACSM2B_69922,ACSM2B,312,365,273,279
ACSM2B_69923,ACSM2B,101,12,44,156
ACSM2B_69924,ACSM2B,226,322,170,196
ACSM4_69317,ACSM4,523,442,547,651
ACSM4_69318,ACSM4,110,192,104,120
ACSM4_69319,ACSM4,302,269,294,357
ACSM4_69320,ACSM4,304,505,616,399
ACSM5_41239,ACSM5,403,314,513,449
ACSM5_41240,ACSM5,174,126,80,245
ACSM5_41241,ACSM5,307,586,341,668
ACSM5_41242,ACSM5,315,493,373,653
ACTA1_177,ACTA1,202,199,252,237
ACTA1_178,ACTA1,199,325,344,186
ACTA1_179,ACTA1,126,136,131,153
ACTA1_180,ACTA1,330,429,119,637
ACTA2_181,ACTA2,241,281,294,164
ACTA2_182,ACTA2,202,297,433,300
ACTA2_183,ACTA2,255,541,150,234
ACTA2_184,ACTA2,195,366,305,322
ACTB_185,ACTB,628,326,423,272
ACTB_186,ACTB,219,152,61,208
ACTB_187,ACTB,455,172,94,178
ACTB_188,ACTB,720,584,247,261
ACTG1_193,ACTG1,838,946,653,1055
ACTG1_194,ACTG1,282,294,454,102
ACTG1_195,ACTG1,170,298,346,192
ACTG1_196,ACTG1,121,59,220,42
ACTL10_64161,ACTL10,456,671,460,398
ACTL10_64162,ACTL10,898,821,642,966
ACTL10_64163,ACTL10,295,695,537,368
ACTL10_64164,ACTL10,496,960,965,817
ACTL6B_38715,ACTL6B,157,152,322,182
ACTL6B_38716,ACTL6B,875,1179,1285,1224
ACTL6B_38717,ACTL6B,436,714,486,326
ACTL6B_38718,ACTL6B,204,329,281,141
ACTL8_51715,ACTL8,615,894,518,650
ACTL8_51716,ACTL8,707,930,768,834
ACTL8_51717,ACTL8,535,497,473,370
ACTL8_51718,ACTL8,783,642,1287,417
ACTL9_67813,ACTL9,275,218,473,318
ACTL9_67814,ACTL9,159,193,350,313
ACTL9_67815,ACTL9,171,82,72,99
ACTL9_67816,ACTL9,210,311,243,289
ACTN1_209,ACTN1,198,235,231,176
ACTN1_210,ACTN1,681,1056,883,800
ACTN1_211,ACTN1,154,61,86,71
ACTN1_212,ACTN1,524,1045,557,466
ACTN2_213,ACTN2,395,316,300,318
ACTN2_214,ACTN2,136,157,222,384
ACTN2_215,ACTN2,140,100,67,79
ACTN2_216,ACTN2,500,542,987,856
ACTN4_201,ACTN4,354,265,235,170
ACTN4_202,ACTN4,646,577,324,854
ACTN4_203,ACTN4,290,302,267,283
ACTN4_204,ACTN4,266,107,265,238
ACTR5_50339,ACTR5,311,515,640,361
ACTR5_50340,ACTR5,345,379,200,247
ACTR5_50341,ACTR5,417,494,411,397
ACTR5_50342,ACTR5,310,154,87,127
ACTR6_47795,ACTR6,305,400,285,245
ACTR6_47796,ACTR6,256,195,334,153
ACTR6_47797,ACTR6,259,215,457,312
ACTR6_47798,ACTR6,240,39,13,10
ACTRT1_60749,ACTRT1,225,362,342,209
ACTRT1_60750,ACTRT1,261,339,286,254
ACTRT1_60751,ACTRT1,122,20,67,33
ACTRT1_60752,ACTRT1,248,177,65,146
ACVR2A_229,ACVR2A,386,315,346,239
ACVR2A_230,ACVR2A,428,545,394,350
ACVR2A_231,ACVR2A,352,693,472,270
ACVR2A_232,ACVR2A,533,478,439,579
ACVR2B_233,ACVR2B,424,416,376,443
ACVR2B_234,ACVR2B,408,710,828,213
ACVR2B_235,ACVR2B,234,255,213,239
ACVR2B_236,ACVR2B,151,289,264,75
ACYP1_245,ACYP1,506,809,1259,1144
ACYP1_246,ACYP1,185,410,341,271
ACYP1_247,ACYP1,262,392,282,275
ACYP1_248,ACYP1,276,417,353,461
ACYP2_249,ACYP2,346,573,633,528
ACYP2_250,ACYP2,340,684,737,498
ACYP2_251,ACYP2,349,278,289,433
ACYP2_252,ACYP2,305,480,275,274
ADAD1_60069,ADAD1,872,795,876,813
ADAD1_60070,ADAD1,317,349,413,453
ADAD1_60071,ADAD1,396,314,463,708
ADAD1_60072,ADAD1,422,750,555,538
ADAM10_261,ADAM10,192,359,308,204
ADAM10_262,ADAM10,198,284,408,123
ADAM10_263,ADAM10,346,460,392,330
ADAM10_264,ADAM10,187,207,82,174
ADAM11_11265,ADAM11,529,660,542,408
ADAM11_11266,ADAM11,657,593,630,668
ADAM11_11267,ADAM11,577,317,375,380
ADAM11_11268,ADAM11,248,200,178,300
ADAM17_18613,ADAM17,244,221,260,314
ADAM17_18614,ADAM17,380,624,387,695
ADAM17_18615,ADAM17,422,789,637,604
ADAM17_18616,ADAM17,195,345,345,267
ADAM19_22809,ADAM19,552,582,852,997
ADAM19_22810,ADAM19,175,455,202,183
ADAM19_22811,ADAM19,258,475,442,368
ADAM19_22812,ADAM19,266,539,251,280
ADAM20_22877,ADAM20,930,996,842,759
ADAM20_22878,ADAM20,991,1058,982,1186
ADAM20_22879,ADAM20,507,780,412,728
ADAM20_22880,ADAM20,582,983,737,1109
ADAM22_39599,ADAM22,234,154,213,144
ADAM22_39600,ADAM22,202,395,219,229
ADAM22_39601,ADAM22,409,562,244,186
ADAM22_39602,ADAM22,243,223,191,122
ADAM28_29351,ADAM28,349,270,123,344
ADAM28_29352,ADAM28,325,333,195,171
ADAM28_29353,ADAM28,307,321,251,254
ADAM28_29354,ADAM28,420,439,702,359
ADAM30_30075,ADAM30,318,558,485,258
ADAM30_30076,ADAM30,289,166,142,339
ADAM30_30077,ADAM30,286,308,483,334
ADAM30_30078,ADAM30,140,142,21,199
ADAM32_65049,ADAM32,277,364,335,259
ADAM32_65050,ADAM32,408,628,504,580
ADAM32_65051,ADAM32,424,554,474,539
ADAM32_65052,ADAM32,181,74,78,38
ADAMDEC1_35971,ADAMDEC1,258,181,197,363
ADAMDEC1_35972,ADAMDEC1,116,218,75,112
ADAMDEC1_35973,ADAMDEC1,656,1006,828,687
ADAMDEC1_35974,ADAMDEC1,255,216,186,133
ADAMTS10_51915,ADAMTS10,630,479,731,647
ADAMTS10_51916,ADAMTS10,283,327,211,198
ADAMTS10_51917,ADAMTS10,289,105,166,119
ADAMTS10_51918,ADAMTS10,175,155,141,325
ADAMTS14_60965,ADAMTS14,281,167,316,335
ADAMTS14_60966,ADAMTS14,319,437,451,216
ADAMTS14_60967,ADAMTS14,288,253,110,357
ADAMTS14_60968,ADAMTS14,237,227,170,482
ADAMTS15_64209,ADAMTS15,432,536,530,726
ADAMTS15_64210,ADAMTS15,795,1209,1133,1217
ADAMTS15_64211,ADAMTS15,638,673,726,976
ADAMTS15_64212,ADAMTS15,668,834,916,724
ADAMTS17_64217,ADAMTS17,657,432,732,613
ADAMTS17_64218,ADAMTS17,591,822,849,830
ADAMTS17_64219,ADAMTS17,794,885,748,708
ADAMTS17_64220,ADAMTS17,723,936,775,672
ADAMTS2_25045,ADAMTS2,1132,1678,1923,1439
ADAMTS2_25046,ADAMTS2,617,702,1082,901
ADAMTS2_25047,ADAMTS2,786,699,805,504
ADAMTS2_25048,ADAMTS2,627,799,526,727
ADAMTS4_25037,ADAMTS4,790,1423,1494,1158
ADAMTS4_25038,ADAMTS4,298,460,132,267
ADAMTS4_25039,ADAMTS4,507,723,763,574
ADAMTS4_25040,ADAMTS4,299,242,392,254
ADAMTS5_30103,ADAMTS5,799,1173,1045,653
ADAMTS5_30104,ADAMTS5,577,859,580,640
ADAMTS5_30105,ADAMTS5,220,263,358,343
ADAMTS5_30106,ADAMTS5,524,676,593,486
ADAMTS6_30371,ADAMTS6,670,958,958,1051
ADAMTS6_30372,ADAMTS6,266,202,220,59
ADAMTS6_30373,ADAMTS6,420,435,279,347
ADAMTS6_30374,ADAMTS6,512,295,415,288
ADAMTS9_44819,ADAMTS9,470,461,593,669
ADAMTS9_44820,ADAMTS9,329,773,332,555
ADAMTS9_44821,ADAMTS9,397,357,486,294
ADAMTS9_44822,ADAMTS9,388,263,267,182
ADAMTSL1_56393,ADAMTSL1,375,467,353,427
ADAMTSL1_56394,ADAMTSL1,134,229,80,127
ADAMTSL1_56395,ADAMTSL1,235,281,279,386
ADAMTSL1_56396,ADAMTSL1,250,342,198,331
ADAP2_43431,ADAP2,352,745,525,355
ADAP2_43432,ADAP2,456,315,146,431
ADAP2_43433,ADAP2,233,250,77,182
ADAP2_43434,ADAP2,139,56,60,5
ADAT1_33087,ADAT1,770,961,1098,796
ADAT1_33088,ADAT1,316,503,412,445
ADAT1_33089,ADAT1,291,466,270,445
ADAT1_33090,ADAT1,253,165,294,244
ADAT2_60293,ADAT2,715,694,941,759
ADAT2_60294,ADAT2,639,195,155,222
ADAT2_60295,ADAT2,493,230,335,383
ADAT2_60296,ADAT2,492,166,131,199
ADCK1_45107,ADCK1,264,224,392,554
ADCK1_45108,ADCK1,267,288,223,185
ADCK1_45109,ADCK1,118,151,49,59
ADCK1_45110,ADCK1,304,568,643,275
ADCK2_55683,ADCK2,583,802,857,645
ADCK2_55684,ADCK2,553,689,543,461
ADCK2_55685,ADCK2,603,475,587,515
ADCK2_55686,ADCK2,719,838,762,812
ADCK3_44811,ADCK3,114,48,268,164
ADCK3_44812,ADCK3,787,812,740,1152
ADCK3_44813,ADCK3,213,407,291,469
ADCK3_44814,ADCK3,249,487,192,348
ADCK4_50403,ADCK4,109,215,245,50
ADCK4_50404,ADCK4,630,679,444,624
ADCK4_50405,ADCK4,319,349,315,255
ADCK4_50406,ADCK4,458,374,373,439
ADCK5_65021,ADCK5,503,907,980,792
ADCK5_65022,ADCK5,597,920,1229,714
ADCK5_65023,ADCK5,865,1500,1417,1114
ADCK5_65024,ADCK5,268,603,253,479
ADCY1_277,ADCY1,405,704,661,305
ADCY1_278,ADCY1,443,566,645,522
ADCY1_279,ADCY1,805,1031,1118,1253
ADCY1_280,ADCY1,384,436,559,604
ADCY10_43455,ADCY10,669,770,701,564
ADCY10_43456,ADCY10,1078,1125,1822,1016
ADCY10_43457,ADCY10,669,1079,1131,610
ADCY10_43458,ADCY10,658,908,922,923
ADCY5_289,ADCY5,347,205,509,245
ADCY5_290,ADCY5,767,687,446,743
ADCY5_291,ADCY5,403,535,523,467
ADCY5_292,ADCY5,292,505,433,402
ADCY6_293,ADCY6,755,760,1107,823
ADCY6_294,ADCY6,552,916,589,558
ADCY6_295,ADCY6,145,153,217,143
ADCY6_296,ADCY6,150,153,264,222
ADCYAP1_309,ADCYAP1,213,359,255,286
ADCYAP1_310,ADCYAP1,268,257,394,263
ADCYAP1_311,ADCYAP1,129,162,78,52
ADCYAP1_312,ADCYAP1,215,282,227,408
ADH1B_337,ADH1B,372,605,271,334
ADH1B_338,ADH1B,353,414,411,470
ADH1B_339,ADH1B,277,334,714,338
ADH1B_340,ADH1B,234,476,259,568
ADH6_353,ADH6,963,1813,1714,1179
ADH6_354,ADH6,900,1133,1474,1325
ADH6_355,ADH6,782,1105,1126,1063
ADH6_356,ADH6,752,1171,1232,977
ADH7_357,ADH7,570,380,570,507
ADH7_358,ADH7,221,282,201,262
